company,bonus,category,notes
Salesforce,35,Dream Company,Salesforce ecosystem target
Optum,25,Target Company,Healthcare and operations fit
UnitedHealth Group,25,Target Company,Healthcare operations fit
Medica,20,Target Company,Health insurance background fit
Best Buy,20,Target Company,Minnesota employer
Cargill,20,Target Company,Minnesota employer
Thermo Fisher,20,Target Company,Operations and analytics fit
Patterson Companies,20,Target Company,Salesforce/admin fit
Target,15,Good Company,Minnesota employer
3M,15,Good Company,Minnesota employer
