job_title,company,location,source,score,match_percent,fit_category,target_track,recommended_resume,location_status,company_bonus,target_strength,recommendation,apply_priority,application_status,application_date,interview_date,follow_up_date,job_link,notes,match_reasons,email_subject,email_date
D365 F&O Finance Business Analyst,Catch Resource Management,"Minneapolis, MN, United States",Google Job Alert,85,85,Strong Match,Business Analyst,Business Analyst Resume,Preferred,0,Strong Target,High Priority,Apply this week,Not Applied,,,,,,"business analyst, analyst, d365, Minnesota location","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
Business Operations Analyst,AMTEC Corporation - A National Defense Corp Company,"Minneapolis, MN (On-site)",LinkedIn,85,85,Strong Match,Operations / Supply Chain,Operations / Supply Chain Resume,Preferred,0,Strong Target,High Priority,Apply this week,Not Applied,,,,,,"analyst, operations analyst, operations, Minnesota location",SUPPLY CHAIN SENIOR ANALYST at Best Buy: up to $112K/year,2026-06-11
Remote Sales Operations & CRM Admin,Cengage Group,"Hagåtña, Guam",Google Job Alert,80,80,Strong Match,Salesforce / CRM,Salesforce Resume,Outside Target Area,0,Strong Target,High Priority,Apply this week,Not Applied,,,,,,"crm admin, crm, operations, sales operations, Remote, Outside target location","10 new jobs for ""crm administrator remote "" - Jun 24",2026-06-24
CRM Data Analyst & Administrator,Howden,via Lensa,Google Job Alert,75,75,Strong Match,Salesforce / CRM,Salesforce Resume,Unknown,0,Strong Target,High Priority,Apply this week,Not Applied,,,,,,"crm, analyst, data analyst","10 new jobs for ""crm administrator remote "" - Jun 24",2026-06-24
SUPPLY CHAIN SENIOR ANALYST,Best Buy,"Minneapolis, MN (On-site)",LinkedIn,75,75,Strong Match,Operations / Supply Chain,Operations / Supply Chain Resume,Preferred,20,Good Target,High Priority,Apply this week,Not Applied,,,,,,"analyst, supply chain, Minnesota location, Target company: best buy",SUPPLY CHAIN SENIOR ANALYST at Best Buy: up to $112K/year,2026-06-11
Salesforce Support Administrator/ Analyst,FUSTIS LLC,"Minneapolis, MN, United States",Google Job Alert,70,70,Strong Match,Salesforce / CRM,Salesforce Resume,Preferred,0,Strong Target,High Priority,Apply this week,Not Applied,,,,,,"salesforce, analyst, Minnesota location","3 new jobs for ""salesforce administrator hybrid near Minneapolis, MN"" - Jun 24",2026-06-24
"Inventory Analyst - Minneapolis, MN - September 2026 Start Date",Target,"Minneapolis, MN, United States",Google Job Alert,70,70,Strong Match,Operations / Supply Chain,Operations / Supply Chain Resume,Preferred,15,Good Target,High Priority,Apply this week,Not Applied,,,,,,"analyst, inventory, Minnesota location, Target company: target","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
Senior Business Analyst / Product Owner,QODE,"Minneapolis, MN, United States",Google Job Alert,70,70,Strong Match,Business Analyst,Business Analyst Resume,Preferred,0,Strong Target,High Priority,Apply this week,Not Applied,,,,,,"business analyst, analyst, Minnesota location","10 new jobs for ""analyst  jobs mn"" - Jun 24",2026-06-24
Field Inventory Analyst III,Boston Scientific,"Arden Hills, MN",LinkedIn,70,70,Strong Match,Operations / Supply Chain,Operations / Supply Chain Resume,Preferred,15,Good Target,High Priority,Apply this week,Not Applied,,,,,,"analyst, inventory, Minnesota location, Target company: boston scientific",SUPPLY CHAIN SENIOR ANALYST at Best Buy: up to $112K/year,2026-06-11
